type,featured,title,location,price,area,beds,baths,image,description
buy,TRUE,"Premium 4BHK Villa in Kakkanad","Kakkanad, Kochi","₹1.2 Crore","2500 sqft",4,4,"https://images.unsplash.com/photo-1540541338287-41700207dee6?w=600&q=80","A stunning modern villa located near Infopark. Features a private garden, modular kitchen, and smart home lighting. Excellent neighborhood."
buy,FALSE,"Cozy 2BHK Suburban House","Edappally, Kochi","₹48 Lakhs","1200 sqft",2,2,"https://images.unsplash.com/photo-1599427303058-f04cbfa476a3?w=600&q=80","Beautiful budget-friendly standalone house in Edappally. Peaceful residential area with easy access to LuLu Mall and Metro Station."
buy,TRUE,"Hill View Tea Estate Farmhouse","Munnar, Idukki","₹1.5 Crore","3200 sqft",3,3,"https://images.unsplash.com/photo-1510798831971-661eb04b3739?w=600&q=80","A charming tea-estate farmhouse nestled in the misty hills of Munnar. Enjoy fresh breezes, chilly winters, and panoramic mountain views."
buy,FALSE,"Traditional Nalukettu Heritage Home","Guruvayur, Thrissur","₹2.1 Crore","4000 sqft",5,4,"https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=600&q=80","An authentically restored traditional Nalukettu with a central courtyard. Teak wood flooring, antique pillars, and a lush garden."
rent,TRUE,"Luxury 3BHK Seaview Apartment","Marine Drive, Kochi","₹45,000/mo","2200 sqft",3,3,"https://images.unsplash.com/photo-1502672260266-1c1f52d36259?w=600&q=80","Premium high-rise apartment on Marine Drive offering stunning Arabian Sea views. Fully furnished with gym and infinity pool access."
rent,FALSE,"Independent Family House","Vazhuthacaud, Trivandrum","₹22,000/mo","1900 sqft",3,2,"https://images.unsplash.com/photo-1628172909403-176aa34b1edc?w=600&q=80","A spacious and well-maintained house located in the premium residential hub of Vazhuthacaud. Pet friendly with ample parking."
rent,FALSE,"Cozy 1BHK Studio Apartment","Kazhakkoottam, Trivandrum","₹9,000/mo","700 sqft",1,1,"https://images.unsplash.com/photo-1588880331179-bc9b93a8cb65?w=600&q=80","Neat and cozy unfurnished 1BHK ground floor portion just minutes away from Technopark. Ideal for bachelor IT professionals."
rent,TRUE,"Furnished 2BHK Near Lulu Mall","Edappally, Kochi","₹18,000/mo","1100 sqft",2,2,"https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&q=80","Fully furnished with AC, Wi-Fi connectivity, and RO water purifier. Walking distance to Metro station."
land,TRUE,"Scenic 50 Cents Hillside Plot","Kalpetta, Wayanad","₹32 Lakhs","50 Cents",,,"https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?w=600&q=80","Breathtaking views of lush green valleys. Ideal for a holiday home or eco-resort. Road access available, water connection nearby."
land,FALSE,"Riverside 30 Cents Plot","Chengannur, Alappuzha","₹28 Lakhs","30 Cents",,,"https://images.unsplash.com/photo-1505118380757-91f5f5632de0?w=600&q=80","A serene riverfront plot along the Pamba riverbank. Perfect for luxury resort development or a premium private villa."
land,TRUE,"Commercial Plot Highway Frontage","Kannur Bypass, Kannur","₹1.8 Crore","1.2 Acres",,,"https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=600&q=80","Prime commercial land with direct highway frontage on NH-66. Ideal for hotel, petrol bunk, or retail complex. All clearances in place."
land,FALSE,"Premium Agricultural Land","Palakkad","₹85 Lakhs","5 Acres",,,"https://images.unsplash.com/photo-1625895197175-b7336ed035ac?w=600&q=80","Fertile agricultural land with abundant water supply. Currently planted with coconut, arecanut, and rubber trees."
